LSOA_code,house_price
E01011610,203500.0
E01011611,145000.0
E01011612,174000.0
E01011613,210000.0
E01011614,202300.0
E01011615,165000.0
E01011616,191000.0
E01011617,136750.0
E01011618,117500.0
E01011620,200000.0
E01011621,140000.0
E01011622,187995.0
E01011623,92500.0
E01011624,145000.0
E01011625,98200.0
E01011626,409500.0
E01011627,230000.0
E01011628,221500.0
E01011629,207500.0
E01011630,208500.0
E01011632,159500.0
E01011633,220000.0
E01011634,199500.0
E01011635,295000.0
E01011636,264250.0
E01011637,190000.0
E01011638,242500.0
E01011639,175000.0
E01011641,490000.0
E01011642,337750.0
E01011643,319750.0
E01011644,375000.0
E01011645,285000.0
E01011646,256000.0
E01011647,217500.0
E01011648,263000.0
E01011649,350000.0
E01011650,472500.0
E01011651,340000.0
E01011652,445750.0
E01011653,287500.0
E01011654,401250.0
E01011655,292500.0
E01011656,122500.0
E01011657,133500.0
E01011658,228000.0
E01011659,139750.0
E01011660,147000.0
E01011661,152500.0
E01011662,175995.0
E01011663,138750.0
E01011664,186995.0
E01011665,172500.0
E01011666,205000.0
E01011667,
E01011668,150750.0
E01011669,161150.0
E01011670,145000.0
E01011671,
E01011673,85000.0
E01011677,78000.0
E01011678,200000.0
E01011681,141500.0
E01011684,282717.0
E01011685,375000.0
E01011686,178000.0
E01011687,342500.0
E01011688,280050.0
E01011689,266000.0
E01011690,191000.0
E01011691,270500.0
E01011692,218750.0
E01011693,227750.0
E01011694,365000.0
E01011695,206500.0
E01011696,541250.0
E01011697,345000.0
E01011698,313125.0
E01011699,340500.0
E01011700,320000.0
E01011701,400000.0
E01011702,550000.0
E01011703,550000.0
E01011704,276250.0
E01011705,220000.0
E01011706,555000.0
E01011707,298000.0
E01011708,390000.0
E01011709,380000.0
E01011710,317500.0
E01011711,422611.0
E01011712,394975.0
E01011713,595000.0
E01011714,216500.0
E01011715,302500.0
E01011716,322500.0
E01011717,187500.0
E01011718,210000.0
E01011719,278125.0
E01011720,150000.0
E01011721,120000.0
E01011722,142000.0
E01011723,149300.0
E01011724,135000.0
E01011725,143500.0
E01011726,184500.0
E01011727,165000.0
E01011728,185000.0
E01011729,108500.0
E01011730,227995.0
E01011731,187000.0
E01011732,159998.0
E01011733,152500.0
E01011734,197500.0
E01011735,135000.0
E01011736,173000.0
E01011737,126750.0
E01011738,225000.0
E01011739,164000.0
E01032487,200000.0
E01032488,281250.0
E01032489,135500.0
E01032490,195000.0
E01032491,233000.0
E01032492,119999.0
E01032493,220000.0
E01032494,182500.0
E01032495,205000.0
E01032496,182000.0
E01032497,132500.0
E01032498,184500.0
E01032499,221500.0
E01032500,95050.0
E01032501,293000.0
E01032502,188500.0
E01032503,457125.0
E01032504,420000.0
E01032606,155000.0
E01032607,130250.0
E01032608,135000.0
E01032876,547500.0
E01032945,239950.0
E01032946,247500.0
E01033002,228500.0
E01033003,59750.0
E01033005,149000.0
E01033006,
E01033008,205000.0
E01033010,140000.0
E01033011,138000.0
E01033013,113750.0
E01033015,178000.0
E01033016,152835.0
E01033018,178500.0
E01033019,174000.0
E01033021,135000.0
E01033031,140000.0
E01033032,175000.0
E01033033,
E01033034,165250.0
E01033035,
